target,text,processed_text
negative,http://twitpic.com/8dj4r - I always look gay when I try dress smart ,always look gay when try dress smart
negative,"@BitchNotAPerson Yes, nobody is perfect. People on LPU seem not to respect anything though LOL And always complain about something ",yes nobody perfect people lpu seem not respect anything though lol always complain about something
positive,@alexismercado Ang cool ng idea mo :&gt; &quot;20 going on 30&quot;  Sayang oh. Di ako naging 30 XD ),ang cool idea quot going quot sayang ako naging
positive,@freyavereeken Time to upload all the photos and start over! ,time upload all photos start over
positive,"@TonniePodRobot Oh okay  Hehe. It has a Wii version too, that's all  Enjoy! ",okay hehe has wii version too thats all enjoy
positive,Erm.. Hi everyone ,erm everyone
positive,@Jason_Manford We have ones that light up straight away; can find out what kind they are if you like? ,have ones that light straight away can find out what kind they are you like
negative,is watching Mamma Mia - was much better at the cinema ,watching mamma mia was much better cinema
positive,"@suyuen Hi! Saw your tweet about geo. filtering-you might be interested in Synthesio, its only one of our filters  www.synthesio.com",saw your tweet about geo filteringyou might interested synthesio its only one our filters
positive,NOTHING  --&gt; my flow so tight CHRIS BROWN should get his ass kick! ),nothing flow tight chris brown should get his ass kick
positive,@diamondjasmine Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip ,get followers day using once you add everyone you are train pay vip
negative,school over.!.4 today  but its over ..!!..Hey tweets..Ellen says hi.!.X,school over today but its over hey tweetsellen says hix
negative,@tommilaitio Read some pages in a shop. Upset me enough not to buy. Stopped watching apocalyptic films as well after Children of Men. ,read some pages shop upset enough not buy stopped watching apocalyptic films well after children men
positive,@digtalmems aw thanks for the hug! lol hope to see you guys on Monday! ,thanks hug lol hope see you guys monday
positive,@uHear_mE_ROAR how u doin this fine fine day ,how doin fine fine day
positive,@justuntlsundown just now realized you said here we go when you were taking off. had i been smart id have said &quot;we have our heading.&quot; ,now realized you said here when you were taking off had been smart have said quotwe have our headingquot
negative,Stressing out majorly about the tests I had to take for the job.  Shit.,stressing out majorly about tests had take job shit
negative,Ahh back to school ,ahh back school
negative,i'm so tired. i've been out all day  and NOW i've gotta fill out my volunteer forms so i can hopefully start at the hospital. grawr.,tired ive been out all day now ive gotta fill out volunteer forms can hopefully start hospital grawr
negative,"@Andy_Winward Only &quot;seem&quot;, Funny? ",only quotseemquot funny
negative,ok its getting old now... where is my purse. otherwise i cant catch me train tomorrow ,its getting old now where purse otherwise cant catch train tomorrow
negative,U be yellin boom boom when u really poom poom ,yellin boom boom when really poom poom
negative,is extremely hungry ,extremely hungry
positive,watching grease with alex and bree ,watching grease with alex bree
positive,@eviealison yes sorry. Account fail between @Aaron_Perkins and I. ,yes sorry account fail between
positive,"@hawaiihmb Oooooh, how exciting - me too ",oooooh how exciting too
negative,Man it cancel we are not going in Toronto ,man cancel are not going toronto
negative,would really appreciate more The Hills time. ,would really appreciate more hills time
negative,@nikiblack You're 1st person I know to like beets...have a pile of them collecting from our CSA. Haven't found a way that I like them ,youre person know like beetshave pile them collecting from our csa havent found way that like them
negative,Wishes she had gone to Bay to Breakers  ...next year for sure!,wishes she had gone bay breakers next year sure
positive,have to clean uo a bit now. eww. what a waste of time ,have clean bit now eww what waste time
negative,@ephram_ i haz nothing good to fap to ,haz nothing good fap
negative,@kcofficial What did I do to get blocked? Im deeply sorry for whatever it is I did. ,what did get blocked deeply sorry whatever did
negative,@OfficialFinch Jealous. Wanna see 'em. ,jealous wanna see
negative,i havnt revised like all day&amp;have a 3 hour english lit exam on mnday. wish me luck ,havnt revised like all dayamphave hour english lit exam mnday wish luck
negative,"I don't think we're going to have any post today.    I like post, makes me feel like it's my birthday.",dont think were going have any post today like post makes feel like its birthday
positive,@princessofurlyf haha. im good.   having lots of rest.  u?,haha good having lots rest
negative,"âªâ« and its toooo lateee to regret mistakes we've maaaadeee, easierrr to walk awaaaayyyyy âªâ« ......arrghhH! i hate not being able 2 sleep ",its toooo lateee regret mistakes weve maaaadeee easierrr walk awaaaayyyyy arrghhh hate not being able sleep
negative,@th52096 Takkuuhh! i miss your fucking funniness ,takkuuhh miss your fucking funniness
negative,I'm just attempting to sign on via a mobile device...unfortunately it's a palm Treo ,attempting sign via mobile deviceunfortunately its palm treo
positive,Spring Awaking the music is awesome.... You should hear her sing and play the piano! Maybe I'll Try to get her to post on youtube! ,spring awaking music awesome you should hear her sing play piano maybe ill try get her post youtube
positive,so cold!! winter has only just began and already i wish it was summer ,cold winter has only began already wish was summer
positive,that ain't stoppin me from eating my taco nachos...hahaha...gettin ready for CLUB PURGATORY tonight ,that aint stoppin from eating taco nachoshahahagettin ready club purgatory tonight
positive,"@londonbridgez Look @ u, blowin' up like the world trade ",look blowin like world trade
positive,"@tommcfly yeah that is a good book. By the way, I saw you in southend last month. Fave band and my first gig... I must say... BRAVO! ",yeah that good book way saw you southend last month fave band first gig must say bravo
negative,"wow, a long-time friend has blocked me on here for defending my beliefs yesterday, that's sad... ",wow longtime friend has blocked here defending beliefs yesterday thats sad
positive,ITS FRIDAY!!  atl july 10th? we better.,its friday atl july better
positive,If you're up and have a clear view of the eastern sky behold the moon and Jupiter! ,youre have clear view eastern sky behold moon jupiter
positive,"@afreshmusic you're welcome.  if you're not going to do something fun and interesting, you might as well do work.",youre welcome youre not going something fun interesting you might well work
negative,GONNA CLEAN MY ROOM ,gonna clean room
negative,"@shaunreeves did they ever disappear? they haven't done any tours for a yearish, only 1 show, which I didn't manage to get tickets for ",did they ever disappear they havent done any tours yearish only show which didnt manage get tickets
positive,@zachward1 Thank you for making that a public announcement! I feel so much better!! ,thank you making that public announcement feel much better
positive,http://twitgoo.com/3mth  out with the old.... in with the cute ,out with old with cute
negative,1 more day of school....  its so sad,more day school its sad
positive,"let the sun shine in, face it with a grin, smilers never lose, and frowners never win ",let sun shine face with grin smilers never lose frowners never win
negative,Ning networks are on &quot;maintenance&quot;. ,ning networks are quotmaintenancequot
positive,"Mapumental is, well, a work of genius: http://bit.ly/103qa9 (via @tom_watson) - especially the name, which I came up with ",mapumental well work genius via especially name which came with
