target,text
negative,@tommcfly i'm very upset cause i coulndt get to meet you guys in Rio. but it's OK. maybe next time.. right? 
negative,So all day i have my phone charging n i only have one text? Lol wheres the love for mikul? 
positive,@broughj heather just hit me up with an offer to build a website. Looks like balls rolling 
negative,@jessv79 ppl are going to bed 
positive,@InLuvwithJON @wicked12 @kasey79 So I was right about the drop in temperature? I think so!! 
positive,@brigittesumner You can use my expierience  http://www.paullasaro.com/
negative,Finally got my twitteriffic working again!  Had to delete and reinstall it  loving the new iPhone os!!
positive,Our SEO is showing results: type - sme marketing berkshire - we're top! Good job team! 
negative,almost got a new iKOG today... oh well... 
positive,@shortstackband i got one 
negative,And...she's busy  Bummers as always.
negative,"@CHANLOO ur welcome, awww it's not there anymore  lol"
negative,My client's stepson still in coma. Tragic mistaken identity police &quot;brutality&quot; case in Belltown.  Not looking good    http://tr.im/ny6F
negative,Missing church today  my baby girl woke me up to a lovely suprise at 4am.......cleaning up throw up while half asleep....not so fun!
positive,is watching the mtv awards 2009  lol eminem
positive,"I am glad to say the mountain bike is fixed, cleaned and ready to ride "
positive,So good to be at a metal gig for once 
negative,I'm not sure I've ever moved without actually moving ... Hahahahahahahaha poor hubby!! 
positive,had the most confusing amazing lecture ever and i loved it 
negative,"@dustondust haha, maybe!  but i think summer quarter is turning out to be more work than i thought it would be  "
negative,"@MJBtheMVP darn I only got one....   letds try this, monavie, insurance, condoms, pizza"
positive,I made $50 off prints today 
negative,Still upset over the truism (?) behind 'ride the white pony' 
negative,spanish ib tomorrow  hardcore study time
negative,Headed back to AZ 
positive,d*.*b The Black Ghosts - Full Moon -&gt; recomeendo essa mÃºsica 
negative,@edenmariee poor eden  what did you do now?
positive,"@EvilNanny aw honey  There is always next weekend! And yes, we have butter and jam! "
positive,"just got home, Land of the Lost is an awsome movie, everyone, watch it "
positive,Really really fantastic weekend!  Watching Mamma Mia with Hector &lt;3 Phoenix bound tomorrow!
negative,wanted to be at Capatals summertime ball!  
positive,Watching MTV boxset featuring PCD .. they will have a concert here in Philippines. They're great dancer ... and singer lolx! peace 
positive,@chicardo hope you will like it 
positive,"@JohnLloydTaylor get some starbucks or walk around you neighborhood, i don't think you get to do that often "
negative,The bus should be here by now  hopefully its late xxx
negative,wanna watch bgt but don't wanna miss the sunshinee 
positive,"Tried to finish my book today, didn't happen I still have about 50 more to go! Tomorrow it will b done! Off to bed no work in the am "
negative,Today was INSANE...locked my keys in the trunk of my car at Plato's closet...scored $25 but had to be in the sick K~Mart plaza for 2hrs! 
positive,@alanakhea WELCOME TO THE TWITTER CLUB 
negative,I miss my pink uniform!   http://plurk.com/p/x6xv1
positive,@SavannahAustria so jelaous i want. 2 travel 2 viena  its seems like a beautiful city.
negative,just chillin in bed but feel pretty crap as the girl i really love i had to delete as i dont knw if its working  badtimes....
positive,Boredom...Guess i better go over my lines for this week lol...OR listen to Zachary Quinto talk in his interviews 
positive,only three more weeks and I'm done with school forever! 
negative,@whitesoxfan20  *hugs* take it easy!
positive,@girlstoys I :heart: Rod too. 
positive,"@LilLucyLucy oh no!! not looking, watching hollyoaks "
negative,ahh im gonna go to bed and sleep wats left of star wars day  sigh
negative,GRUMPY FUCK. i hate when people take there wee moods out on me. and i cant eat cookies cause my teeth 
positive,@coachbear Good on ya buddy  Not the jackpot this time but still a good placing ;-)
negative,http://twitpic.com/7qsc8 - Packing up my room 
negative,"again, picking another outfit, for another horrid day.   and for my speech...u know idk..idc anymore. i wish troy wasn't going for vp. ..."
negative,@inlovewitharmy i knoooooooooooow 
negative,Woke up again. Something's very strange. I have to do so much homework this weekend 
positive,"One year ago today, I walked into the MSPCA and adopted a shy cat who hid under my bed for a week. Now, she completely owns the place "
positive,@wyclef Twitter Time 
negative,So I went to go get some water and I hit my big toe. Now it's bleeding like crazy!!!! Somebody help lol 
negative,"I remember when Ben was a cute, curly little toddler whose world revolved round his mum, at 11 he's a smart arse like his big brothers "
negative,@feemccloud I can't believe it! 
negative,Another set of iPod earbuds dying - left going quiet  Apple charge GBP20 for replacements. Better options at around that price point?
positive,@cassidycullenx im great thanx!!! wats it like in the us at the moment? 
negative,Wish someone would send me a nice boobs pic to lighten up my Saturday 
negative,@SnowDove i've been waiting a week  but i think for sure it will come tomorrow 
positive,@vickytcobra you should probably take a photo if that and twitpic for everyone benefit 
positive,@bangz03 hey!! Its almost ur birthday!!! 
positive,I'm cold. My butt is numb. And I have to pee! Yay for the concert experience 
negative,Nfg greatest hits cd cracked 
negative,@ameeface It is here too now 
negative,http://twitpic.com/5af5h - Cat!!! Jack Jack died last December 
negative,I think I miss you 
positive,demilovato_mexican_fans@hotmail.com thanks for the support to @ddlovato MEXICAN FANS LOVE HER 
positive,@MsV1959 you're too cool. thanks. 
negative,@D3podcast we only sold them before the record came out.  They're gone!  
negative,@ian_watkins say hi to me please!! 
negative,@iCeleBRITy i have a 3 charger and i see how u do me i had dibs fist  but wat kan i do wit sprint if im tmobile kum on britt lol
negative,Gudmornin every1 damn it look nasty n miami man I live here &amp; I want it 2 be sunny nt raining  well I have fun sum type of way..gudmornin
negative,@kt_73 No they're not 
negative,...that wont turn up til saturday 
negative,@TownHallSteps1 i do  do you aswell? how much does it suck? lol x
negative,"@giberti I can start typing in name but as I cont finishing name, most people don't show up. I have to type 3 letters and scroll. "
negative,"i'm ill, cheer me the fuck up "
positive,@ccb876 boy dont make me bitch slap ya  ahhaha yeh sort of.. reading some research... eating so much fruit.. mum  bought pineapple  u?
positive,not n the mood 2 wrk. so tired. exhausted frm wrkn this past week. :/ gotta finish gettn ready. bbak on later. xoxo follow @BrittanyASnow 
negative,http://twitpic.com/7iruv - greyson! i miss you! 
negative,Got a lovely dm from a random person telling me how great I am... It was intended for @DaveJMatthews 
negative,@ArsenalSarah But it's all dirty now 
negative,@SuperVegan i LOVE pf changs! their lettuce wraps are great. i just feel so upset that i trusted these were vegan (based on many sources) 
negative,Drinking a HUGE can of Relentless...lamenting the pound coin that feel from the hole in ma pocket.. 
negative,I'm soooo tired now  At least I got to see my best friend today at her workplace! @meellow the wrap tasted okay. there was no sauce in it
positive,i could sleep in my car... this shit is effing comfortable  http://bit.ly/Ert1S
negative,Am i the only person who thinks Conan O'Brien isn't the least bit funny? Its so sad Leno left the Tonight Show. Only one i ever watched 
negative,Cant see his other follower 
positive,It's raining and I've got the window open. I love listening to the rain. 
negative,My mother n law just came back from India!!she is now a Yoga Teacher!!isnÂ´t that awsome..she is 63 and is in beter shape than me..IÂ´m 27 
negative,says please don't try and call me on my mobile today as I've managed to seal it in another room while the decorator is here! clever me! 
negative,When will I learn to have more faith. I worry entirely too much 
negative,"so happy, but so sad ....  / "
positive,@MrsJasperHale08 Did you know he was born in San Antonio?! 
positive,@Lisa_Veronica You're amazing!! &lt;3 I'm going to try my best to see y'all on the 18th!!! 
positive,@direbonappetit yep  I blame my mate for taking me to see him in Hamlet last year. I wasn't to fussed before then!
positive,@shaylynn575 Bwahaha! I got so excited when I saw you finally got a Twitter Account! 
positive,Askem is liked his walk to April's house   Hope it's nice out tonight... http://apps.facebook.com/dogbook/profile/view/742943
negative,"@BusaBusss I love you man, but you used to pick some waaaay better beats "
negative,@stellth yah and I'm kicking myself for waiting until 4 days before we leave to find this out 
positive,HAPPY MOTHERS DAY TO ALL THE MOMS. 
negative,Awww  I forgot I have to babysit tonight. fuck!
negative,reaquainting myself with the process of posting news items on our intranet 
positive,Watching &quot;the Fall Out Boy Chronicles&quot; 
positive,@Busymom Love it. Mom's can't win!  PS Thanks for the full disclosure ;)
positive,@SUNSHiNE_215 Thank you girl! I told you twitter was addicting 
positive,@steviecesal Hahaha poor stevie. 
positive,Im sitting next to Angie!  Yay!
positive,need to let go of my twitteraddiction nd go enjoy this beautiful sunday  catch ya later tweeps!
positive,Feels like shit. Simple as. Back to sleep  x
negative,@shaunie02 kk!! Girl I have the worse wrk schedule @ hospital this wk thurs-sun 2-10...ugh and tomorrow off this weds tho 
positive,"Off to bed before I simply fall over! Good night, friends. "
negative,Its 0530 in the morning and its already hot out 
positive,just talked to Wes Hayden fromThe Bachelorette!!! He thinks I hate him! haha Wes you are not old or ugly! You're awesome 
